iter	Logloss
0	0.6831150633
1	0.6711723179
2	0.6601297324
3	0.6495819044
4	0.639431135
5	0.6306498116
6	0.6203414104
7	0.6115482633
8	0.6025227796
9	0.5964638131
10	0.5900447054
11	0.5842904023
12	0.5772173118
13	0.5713407149
14	0.564384969
15	0.5581439476
16	0.552205926
17	0.5473735989
18	0.5423798981
19	0.5371618701
20	0.5330079071
21	0.5292433674
22	0.5246966059
23	0.5203116136
24	0.5171174722
25	0.5143647099
26	0.5117148105
27	0.5092153833
28	0.5063311408
29	0.5030032785
30	0.5006258789
31	0.4978309778
32	0.4953585647
33	0.4929859693
34	0.490807717
35	0.4883995957
36	0.4864673129
37	0.484815471
38	0.4826200314
39	0.4809093229
40	0.4791164992
41	0.4773128926
42	0.475473938
43	0.4734930794
44	0.4718209971
45	0.4701130623
46	0.4686590779
47	0.4671350288
48	0.4654787884
49	0.4642791105
50	0.462189044
51	0.4609334148
52	0.4594333953
53	0.458115373
54	0.4567880498
55	0.4554209754
56	0.4543381065
57	0.4531465642
58	0.4521909228
59	0.4512621242
60	0.4501696272
61	0.4492514691
62	0.4480483693
63	0.4465617705
64	0.4455694567
65	0.4445269262
66	0.4437849458
67	0.442882854
68	0.442132968
69	0.4413016935
70	0.4403705996
71	0.4395383573
72	0.4384948054
73	0.4375340182
74	0.436829748
75	0.4354195287
76	0.4347138698
77	0.4335313289
78	0.4328204556
79	0.4318139175
80	0.4309475816
81	0.4302317239
82	0.4290440484
83	0.4281255949
84	0.4271613495
85	0.4264778072
86	0.4257884446
87	0.4250723693
88	0.4245111974
89	0.4240621604
90	0.4234613616
91	0.4229288484
92	0.4220542373
93	0.4213880512
94	0.4208247992
95	0.4200374736
96	0.4195629779
97	0.4186369468
98	0.4181082192
99	0.4176590202
100	0.4171779121
101	0.4164764212
102	0.415854205
103	0.4153166194
104	0.414773682
105	0.4144332479
106	0.4139588631
107	0.4135448725
108	0.4129685207
109	0.412666725
110	0.4122144561
111	0.4117760913
112	0.4113728848
113	0.4106030616
114	0.4102528989
115	0.4098702144
116	0.4096441553
117	0.409163405
118	0.408634323
119	0.4081532674
120	0.4074961627
121	0.4072824428
122	0.4069338088
123	0.4065395174
124	0.4056694268
125	0.4053840614
126	0.4051223286
127	0.4046168632
128	0.4042870613
129	0.4039584243
130	0.4037173978
131	0.4035010605
132	0.4030695548
133	0.4026951761
134	0.4025636527
135	0.4022514198
136	0.4019575507
137	0.4013568819
138	0.4009458344
139	0.4004226874
140	0.3998550981
141	0.399194651
142	0.3988292554
143	0.3984128706
144	0.3980525481
145	0.3977565617
146	0.3974781735
147	0.397199083
148	0.3970237972
149	0.3967118245
150	0.3963817341
151	0.3959258568
152	0.3956708989
153	0.3953514202
154	0.3950724783
155	0.3948161583
156	0.3944302459
157	0.394085204
158	0.3938908459
159	0.3935864374
160	0.393324536
161	0.3929932535
162	0.3925120997
163	0.3921694819
164	0.3916665016
165	0.3911742095
166	0.3909216392
167	0.3907223798
168	0.3902601588
169	0.3899495713
170	0.3896006532
171	0.3893635167
172	0.3891215626
173	0.3889713288
174	0.3887122369
175	0.3882298449
176	0.3879188011
177	0.3876755679
178	0.3874871929
179	0.3870720703
180	0.3868592862
181	0.3866994889
182	0.3864773661
183	0.3858064334
184	0.385543466
185	0.3854150198
186	0.3852504447
187	0.385007045
188	0.3848350374
189	0.3846384754
190	0.3842976673
191	0.3841665041
192	0.3839343227
193	0.3837921015
194	0.3836131017
195	0.3832716463
196	0.3830002136
197	0.3827904517
198	0.3825788384
199	0.3823474806
200	0.3821745553
201	0.382004524
202	0.3817021819
203	0.3815487464
204	0.3814051975
