Najlepsza_para,Interakcja,Korelacja
"('RoomService', 'VIP_Enc')",Interakcja_RoomService_VIP_Enc,-0.035162498282028457
"('Age', 'Cabin_Deck')",Interakcja_Age_Cabin_Deck,-0.038638343010042035
"('Cabin_Deck', 'Group')",Interakcja_Cabin_Deck_Group,-0.04393776236437156
"('VIP_Enc', 'Cabin_Type_Enc')",Interakcja_VIP_Enc_Cabin_Type_Enc,-0.050054456229557266
"('HomePlanet_Enc', 'VIP_Enc')",Interakcja_HomePlanet_Enc_VIP_Enc,-0.05131833386551996
"('Cabin_Deck', 'CryoSleep_Enc')",Interakcja_Cabin_Deck_CryoSleep_Enc,-0.05263939188162348
"('Age', 'Cabin_Section_Enc')",Interakcja_Age_Cabin_Section_Enc,-0.06493643853558313
"('VIP_Enc', 'TotalSpending')",Interakcja_VIP_Enc_TotalSpending,-0.06594210370249379
"('Age', 'HomePlanet_Enc')",Interakcja_Age_HomePlanet_Enc,-0.08182062858913347
"('Age', 'Destination_Enc')",Interakcja_Age_Destination_Enc,-0.0865031468429494
"('Age', 'Family')",Interakcja_Age_Family,-0.08739604891937998
"('FoodCourt', 'Destination_Enc')",Interakcja_FoodCourt_Destination_Enc,-0.0969208417910938
"('Age', 'Group')",Interakcja_Age_Group,-0.09936489364303713
"('Age', 'Cabin_Type_Enc')",Interakcja_Age_Cabin_Type_Enc,-0.10639412986947851
"('FoodCourt', 'Cabin_Type_Enc')",Interakcja_FoodCourt_Cabin_Type_Enc,-0.11155605939416834
"('Destination_Enc', 'Cabin_Type_Enc')",Interakcja_Destination_Enc_Cabin_Type_Enc,-0.13659893530921768
"('ShoppingMall', 'Destination_Enc')",Interakcja_ShoppingMall_Destination_Enc,-0.1496545996082642
"('ShoppingMall', 'Cabin_Type_Enc')",Interakcja_ShoppingMall_Cabin_Type_Enc,-0.1599107351507797
"('FoodCourt', 'Cabin_Section_Enc')",Interakcja_FoodCourt_Cabin_Section_Enc,-0.17496115424185144
"('ShoppingMall', 'Family')",Interakcja_ShoppingMall_Family,-0.19355232938155204
"('FoodCourt', 'Group')",Interakcja_FoodCourt_Group,-0.1987257323165892
"('VRDeck', 'Destination_Enc')",Interakcja_VRDeck_Destination_Enc,-0.19926212103969052
"('FoodCourt', 'Family')",Interakcja_FoodCourt_Family,-0.20081743069679087
"('ShoppingMall', 'Cabin_Section_Enc')",Interakcja_ShoppingMall_Cabin_Section_Enc,-0.2105952705054286
"('FoodCourt', 'HomePlanet_Enc')",Interakcja_FoodCourt_HomePlanet_Enc,-0.21132379928321296
"('ShoppingMall', 'Group')",Interakcja_ShoppingMall_Group,-0.21318102917823778
"('RoomService', 'Family')",Interakcja_RoomService_Family,-0.21386995696399458
"('VRDeck', 'Cabin_Type_Enc')",Interakcja_VRDeck_Cabin_Type_Enc,-0.2206254631424345
